calibration_case_id,meeting_id,quality_label,peak_second,onset_second,offset_second,temporal_position,timing_bin,joint_corroborated,peak_entropy,combined_delta,z_delta_entropy,z_delta_pct_det,peak_pct_det,peak_rmse,meeting_duration_seconds,window_start_second,window_end_second,segment_n_turns,trigger_type,trigger_subtype,smm_dimension,confidence,content_summary,justification
cal_11,2024.12.23startup_a,include,1491,1480,1498,0.2791612057667103,early,True,1.7218367324208503,0.094658023605049,0.156739090595105,0.032576956614993,95.84535037804972,0.0859682312350179,5341.0,1311,1671,33,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: é a gente acredita que,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_12,2024.12.23startup_b,include,4971,4971,4972,0.9018505079825836,late,True,1.6289738159006806,0.4641401835028561,0.2776593481639117,0.6506210188418005,93.85793965459312,0.8127723548390308,5512.0,4791,5151,52,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: Terminar isso com nota 8 do que tentar um 10 e não consegui terminar.,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_13,2025.03.17startup_b,include_with_caution,3428,3420,3460,0.5395026754800126,middle,False,1.870832140157877,0.42083615400926,0.5672522164997892,0.2744200915187309,95.55287555589057,0.6063481193615863,6354.0,3248,3608,57,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: Então vamos lá.,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_14,2025.03.17startup_b,include_with_caution,4529,4504,4538,0.7127793515895499,late,False,1.9407698685349704,0.6717149555263036,0.5902918230481217,0.7531380880044856,93.46955360770885,1.0894223326825572,6354.0,4349,4709,51,functional_reorientation,FR_attention,smm_none,conf_low,"The segment centers on: Da [PARTNER_A] aqui eles vão fazer um coisa com [UNRESOLVED_ENTITY] [PARTNER_D], né? Que a gente tinha comentado.","Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_15,2025.03.25startup_a,include_with_caution,305,287,326,0.0596285434995112,early,True,1.9358358722930813,0.3764678074508135,0.0231020961911927,0.7298335187104343,94.72657660911652,0.4867111272788332,5115.0,125,485,37,functional_reorientation,FR_attention,smm_none,conf_low,"The segment centers on: Bom dia, [PERSON_E].","Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_16,2025.03.25startup_a,include_with_caution,3677,3656,3693,0.7188660801564027,late,False,1.5749691486891673,0.1157805496675298,0.1407193675893683,0.0908417317456912,97.99919159256264,0.2544391375237735,5115.0,3497,3857,31,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: [UNRESOLVED_ENTITY] a gente estava em quatro A gente estava em quatro na tecnologia com o objetivo de chegar em 5. Se...,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_17,2025.03.31startup_a,include_with_caution,1004,994,1018,0.1957878315132605,early,False,1.8924144226173405,0.1154650722097296,0.1394940997379775,0.0914360446814817,99.10775098760386,0.2157833761102734,5128.0,824,1184,17,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: Então esse é um esse é o entrevista que tava faltando.,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_18,2025.03.31startup_b,include_with_caution,544,542,546,0.0859943092001264,early,False,1.5478570234493585,0.2877820868742254,0.4532235346695158,0.1223406390789351,99.27480916030534,0.2405162664550339,6326.0,364,724,24,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: Tá certo,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_19,2025.04.07startup_b,include_with_caution,475,466,485,0.0732685485114915,early,False,1.964508814039532,0.0639465014568764,0.0693110362481622,0.0585819666655906,94.20226993421528,0.389213932043478,6483.0,295,655,65,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: sim,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_20,2025.04.14startup_a,include_with_caution,4155,4152,4161,0.6674698795180722,late,False,1.5125568756434098,0.4855982168577232,0.1867990518159948,0.7843973818994515,96.82831096480122,0.7243593371546133,6225.0,3975,4335,39,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: A mesma coisa são um [UNRESOLVED_ENTITY] rápido.,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
