event_id,diagnosis_group,v1_trigger_type,v2_trigger_type,corrected_trigger_type,v1_subtype,v2_subtype,corrected_subtype,gold_trigger_type,gold_subtype,corrected_eq_v1,corrected_eq_v2,corrected_eq_gold,corrected_confidence
evt_129,gold_standard,cognitive_perturbation,cognitive_perturbation,functional_reorientation,CP_generative,CP_generative,FR_procedural,cognitive_perturbation,CP_generative,False,False,False,conf_medium
evt_135,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_attention,FR_attention,FR_elaboration,functional_reorientation,FR_attention,True,True,True,conf_medium
evt_141,gold_standard,cognitive_perturbation,cognitive_perturbation,functional_reorientation,CP_generative,CP_generative,FR_elaboration,cognitive_perturbation,CP_generative,False,False,False,conf_high
evt_142,gold_standard,cognitive_perturbation,cognitive_perturbation,functional_reorientation,CP_generative,CP_generative,FR_attention,cognitive_perturbation,CP_generative,False,False,False,conf_medium
evt_147,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_procedural,FR_procedural,FR_elaboration,functional_reorientation,FR_procedural,True,True,True,conf_medium
evt_160,gold_standard,cognitive_perturbation,cognitive_perturbation,cognitive_perturbation,CP_constraint,CP_constraint,CP_invalidation,cognitive_perturbation,CP_constraint,True,True,True,conf_high
evt_170,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_elaboration,FR_elaboration,FR_elaboration,functional_reorientation,FR_elaboration,True,True,True,conf_medium
evt_173,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_elaboration,CP_generative,FR_elaboration,,,True,False,,conf_medium
evt_025,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_generative,FR_procedural,,,True,False,,conf_high
evt_008,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,cognitive_perturbation,FR_elaboration,CP_generative,CP_generative,,,False,True,,conf_medium
evt_090,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_generative,FR_elaboration,,,True,False,,conf_medium
evt_077,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_elaboration,CP_generative,FR_elaboration,,,True,False,,conf_medium
evt_071,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_elaboration,CP_generative,FR_elaboration,,,True,False,,conf_medium
evt_026,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_generative,FR_procedural,,,True,False,,conf_medium
evt_023,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_generative,FR_procedural,,,True,False,,conf_medium
evt_064,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_constraint,FR_procedural,,,True,False,,conf_medium
evt_130,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_constraint,FR_procedural,,,True,False,,conf_medium
evt_029,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_constraint,FR_elaboration,,,True,False,,conf_medium
evt_158,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_elaboration,CP_constraint,FR_elaboration,,,True,False,,conf_medium
evt_047,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_constraint,FR_attention,,,True,False,,conf_medium
evt_067,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_elaboration,CP_constraint,FR_elaboration,,,True,False,,conf_medium
evt_073,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_divergence,FR_procedural,,,True,False,,conf_medium
evt_143,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_elaboration,CP_divergence,FR_elaboration,,,True,False,,conf_medium
evt_014,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_elaboration,CP_invalidation,FR_elaboration,,,True,False,,conf_medium
evt_148,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,cognitive_perturbation,FR_elaboration,CP_invalidation,CP_invalidation,,,False,True,,conf_high
evt_058,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,cognitive_perturbation,FR_elaboration,CP_invalidation,CP_invalidation,,,False,True,,conf_high
evt_119,fr_to_cp_flip,functional_reorientation,cognitive_perturbation,functional_reorientation,FR_procedural,CP_divergence,FR_elaboration,,,True,False,,conf_medium
